date,our_team,opp_team,our_final_team_point,opp_final_team_point,our_penalty_shootout_point,opp_penalty_shootout_point,final_result,our_domination_time,opp_domination_time,our_possession,opp_possession,our_yellow,opp_yellow,our_pass_all,our_pass_L,our_pass_R,our_pass_F,our_pass_B,opp_pass_all,opp_pass_L,opp_pass_R,opp_pass_F,opp_pass_B,our_through_pass,opp_through_pass,our_successed_tackle,our_failed_tackle,opp_successed_tackle,opp_failed_tackle,our_shoot,opp_shoot,our_point,opp_point,our_dribble,opp_dribble,our_penalty_area,opp_penalty_area,our_disconnected_player,opp_disconnected_player
202402171938,iBots_Dev_18,RoboCin_18,1,9,0,0,0,1925,2261,0.459866220735786,0.540133779264214,1,1,103,23,21,54,5,101,27,18,44,12,6,11,16,1,34,2,1,12,1,9,291,226,2,-1,0,0
202312270811,iBots_Dev_14,RoboCin_14,0,5,0,0,0,892,1427,0.3846485554118154,0.6153514445881846,1,1,49,14,12,20,3,67,15,14,30,8,1,4,13,1,21,2,0,5,0,5,150,136,1,-1,0,0
202312270712,iBots_Dev_10,RoboCin_10,0,7,0,0,0,1620,2467,0.3963787619280646,0.6036212380719354,1,1,81,16,15,45,5,129,37,24,48,20,2,5,19,3,38,2,0,6,0,7,250,325,4,-1,0,0
202312270756,iBots_Dev_13,RoboCin_13,0,1,0,0,0,1277,1227,0.5099840255591054,0.49001597444089456,2,4,59,17,16,22,4,78,27,19,21,11,3,1,17,1,19,7,0,3,0,1,211,143,2,-1,0,0
202402171924,iBots_Dev_17,RoboCin_17,0,8,0,0,0,2134,2542,0.45637296834901625,0.5436270316509837,2,0,87,23,21,40,3,131,38,32,53,8,2,10,17,2,29,4,2,13,0,8,370,279,2,-1,0,0
202312270727,iBots_Dev_11,RoboCin_11,0,9,0,0,0,1617,2588,0.3845422116527943,0.6154577883472057,2,0,86,21,19,44,2,135,36,32,54,13,1,13,17,2,34,0,0,12,0,9,242,276,3,-1,0,0
202312262142,iBots_Dev_1,RoboCin_1,0,7,0,0,0,1896,2542,0.427219468228932,0.572780531771068,2,0,81,20,15,43,3,121,32,28,52,9,7,12,24,2,25,6,2,12,0,7,263,324,2,-1,0,0
202312262324,iBots_Dev_8,RoboCin_8,0,9,0,0,0,1863,2463,0.4306518723994452,0.5693481276005548,1,1,85,26,27,27,5,112,28,30,41,13,2,9,19,1,27,4,2,14,0,9,278,276,4,-1,0,0
202312270742,iBots_Dev_12,RoboCin_12,0,2,0,0,0,1035,1170,0.46938775510204084,0.5306122448979592,1,1,49,13,11,19,6,62,14,19,25,4,2,0,11,1,23,0,3,3,0,2,152,104,2,-1,1,0
202312270826,iBots_Dev_15,RoboCin_15,0,4,0,0,0,853,1100,0.43676395289298514,0.5632360471070148,1,1,50,10,16,22,2,50,12,14,18,6,1,3,14,0,14,0,1,5,0,4,112,107,1,-1,0,0
202312262309,iBots_Dev_7,RoboCin_7,0,6,0,0,0,1785,2276,0.4395469096281704,0.5604530903718296,1,1,90,27,26,34,3,118,34,19,47,18,3,8,17,1,31,2,2,8,0,6,254,233,6,-1,0,0
202312262211,iBots_Dev_3,RoboCin_3,0,5,0,0,0,1021,1327,0.4348381601362862,0.5651618398637138,1,1,45,11,8,18,8,61,17,12,27,5,2,0,12,2,28,2,0,6,0,5,185,121,0,-1,1,0
202312262156,iBots_Dev_2,RoboCin_2,1,5,0,0,0,1939,2463,0.4404815992730577,0.5595184007269423,2,2,95,22,24,44,5,112,26,17,53,16,3,6,21,2,36,5,3,10,1,5,322,289,1,-1,0,0
202402171953,iBots_Dev_19,RoboCin_19,0,8,0,0,0,1824,2543,0.4176780398442867,0.5823219601557134,0,2,83,22,22,35,4,105,35,29,34,7,1,10,13,0,27,0,1,11,0,8,262,344,2,-1,0,0
202312262240,iBots_Dev_5,RoboCin_5,0,6,0,0,0,1605,2427,0.39806547619047616,0.6019345238095238,1,1,91,27,24,39,1,134,40,29,55,10,1,6,21,2,33,2,0,7,0,6,204,246,0,-1,0,0
202312262225,iBots_Dev_4,RoboCin_4,1,9,0,0,0,1799,2664,0.40309209052207035,0.5969079094779296,2,1,93,28,22,37,6,142,27,39,53,23,2,5,30,1,28,3,3,9,1,9,299,307,1,-1,0,0
202312262339,iBots_Dev_9,RoboCin_9,0,4,0,0,0,2188,2479,0.46882365545318194,0.5311763445468181,1,2,88,18,28,38,4,101,22,29,39,11,5,3,13,1,28,1,0,5,0,4,401,320,3,-1,0,0
202402171909,iBots_Dev_16,RoboCin_16,1,7,0,0,0,1779,2402,0.42549629275292994,0.5745037072470701,1,1,97,33,29,31,4,127,35,28,48,16,4,11,24,2,36,3,0,10,1,7,277,239,5,-1,0,0
202312262255,iBots_Dev_6,RoboCin_6,1,4,0,0,0,1729,2316,0.4274412855377009,0.5725587144622991,0,3,80,18,19,38,5,136,35,28,56,17,3,6,23,4,35,2,2,7,1,4,233,230,3,-1,0,0
202402172008,iBots_Dev_20,RoboCin_20,0,8,0,0,0,1905,2367,0.44592696629213485,0.5540730337078652,0,2,98,25,28,39,6,116,24,29,53,10,2,8,12,0,40,1,0,9,0,8,312,283,1,-1,0,0
